country,results,percentage
Israel,-138.857142857143,47.0%
Seychelles,-98.5641025641026,42.5%
United Kingdom,-262.6666666666667,22.9%
Bahrain,-567.4285714285705,14.9%
Serbia,185.81818181818187,9.3%
Chile,-156.0,12.1%
Malta,-567.4285714285705,8.3%
Romania,311.69230769230774,3.7%
Norway,-1995.9999999999982,4.3%
Slovakia,-995.9999999999991,4.4%
Turkey,-495.99999999999983,4.7%
Denmark,-996.0000000000001,4.3%
Poland,-1995.9999999999982,4.0%
Finland,-1996.0000000000025,3.9%
Greece,-1996.0000000000025,3.8%
Lithuania,-1996.0000000000025,3.8%
Hungary,-3995.999999999997,3.6%
Sweden,-1995.9999999999982,3.6%
Ireland,-1995.9999999999982,3.6%
France,-3995.999999999997,3.4%
Germany,-1996.0000000000025,3.4%
Belgium,-3995.999999999997,3.2%
Portugal,-1996.0000000000025,3.3%
Spain,-1329.3333333333342,3.3%
Italy,-1995.9999999999982,3.0%
Austria,-1996.0000000000025,2.8%
Luxembourg,-1329.3333333333342,2.9%
Brazil,-1995.9999999999982,2.5%
Croatia,-3996.0000000000055,1.7%
Oman,-567.4285714285714,1.8%
Latvia,-3996.0000000000055,1.2%
Costa Rica,-1995.9999999999993,1.1%
Mexico,-3996.000000000001,0.6%
Bangladesh,-1329.3333333333333,0.8%
Peru,-3996.000000000001,0.3%
